CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Brazil,BRA,20200319,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,1,10,"	"
Barbados,BRB,20200319,,,,0,,,,,,0,,,0,0,,0,0,,0,,,,,,,,,,1,0,0,"	"
Brunei,BRN,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,,"	"
Bhutan,BTN,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Botswana,BWA,20200319,,,,0,,,0,,,0,,,1,1,Facebook page (@COVID19.MOHW.BW),0,,,3,12 out of 17 BW-South African border crossings closed: ,0,,5,https://tradingeconomics.com/botswana/interest-rate,0,,0,,,,29,"	"
Central African Republic,CAF,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Canada,CAN,20200319,2,0,,2,1,,1,0,,0,,,1,1,,0,,,3,,18570000000,,1,,,,200050950,,569,8,57,"	"
Switzerland,CHE,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,19,,"	"
Chile,CHL,20200319,2,0,,1,1,,2,0,,,0,,1,1,,0,0,,3,,0,,,,,,,,201,0,57,"	"
China,CHN,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81163,3242,,"	"
Cote d'Ivoire,CIV,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,"	"
Cameroon,CMR,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,"	"
